Age,Experience,Department,Position,Education,Salary
59,28,IT,Director,Bachelors,212620
49,12,Operations,Manager,Bachelors,111267
35,34,Operations,Manager,Masters,206352
28,5,Finance,Director,Masters,107703
41,17,IT,VP,Masters,189429
59,4,IT,VP,Masters,157451
39,24,Sales,Manager,PhD,171539
43,1,Operations,Consultant,PhD,65004
31,9,HR,VP,PhD,168938
31,29,Operations,Director,Masters,197244
44,4,Operations,VP,Masters,156284
56,32,Sales,Director,Masters,255748
44,0,HR,Manager,PhD,59069
23,17,Sales,VP,Masters,199299
42,31,HR,Director,Bachelors,238210
22,10,Finance,Manager,Bachelors,109226
44,20,HR,Consultant,Masters,116652
50,25,Sales,Director,Bachelors,209323
58,24,Operations,Consultant,Bachelors,142597
22,21,HR,Consultant,PhD,142226
41,26,HR,Analyst,Masters,131091
53,12,IT,VP,Masters,200333
32,32,Operations,Director,PhD,215826
42,33,Finance,Consultant,Bachelors,189417
45,34,Sales,Analyst,Bachelors,177193
47,0,Finance,Manager,Masters,67638
48,20,Operations,Director,Bachelors,166169
36,5,HR,Consultant,PhD,66556
35,27,HR,VP,PhD,247552
23,16,Operations,Analyst,Masters,81813
57,4,HR,Consultant,PhD,62815
27,30,HR,VP,PhD,241536
41,4,HR,Consultant,Masters,78278
29,2,Sales,Director,PhD,110234
59,22,Sales,Director,PhD,200673
38,9,IT,Director,PhD,145403
24,9,Finance,Analyst,Bachelors,48785
45,18,Operations,Director,Masters,160639
34,16,Operations,VP,Masters,187344
29,20,Operations,Consultant,Masters,123300
46,13,IT,Manager,Bachelors,130372
22,8,Sales,VP,Bachelors,163538
40,0,IT,VP,Masters,134973
48,12,Operations,Director,Bachelors,137619
27,3,Finance,Analyst,Masters,60204
28,0,HR,Consultant,Bachelors,60575
55,31,Sales,Analyst,PhD,191419
34,33,Sales,Consultant,PhD,186716
37,27,IT,Consultant,Masters,139736
56,30,Sales,Analyst,Bachelors,163848
24,7,Operations,VP,Bachelors,142352
22,25,Operations,Consultant,PhD,122932
26,33,IT,Analyst,PhD,155913
24,2,Operations,Consultant,Bachelors,38556
49,11,Finance,Manager,Bachelors,119800
38,0,IT,VP,Bachelors,124498
46,4,Finance,Director,Bachelors,109582
54,29,HR,Consultant,Bachelors,162569
30,29,Finance,Manager,Bachelors,165857
56,16,HR,Director,Masters,152340
34,22,HR,Director,Bachelors,181766
51,14,Finance,Consultant,PhD,117632
35,20,IT,Analyst,Masters,105991
28,13,Operations,Consultant,Bachelors,76138
34,1,Operations,Manager,PhD,51358
43,10,HR,Director,Masters,131214
41,33,HR,Consultant,PhD,182340
36,33,IT,Analyst,Bachelors,184395
38,17,Sales,Consultant,Bachelors,127654
44,29,Finance,VP,Bachelors,263879
46,14,HR,Analyst,Bachelors,94996
45,26,Operations,Manager,Masters,194272
49,33,IT,Director,Masters,243262
35,32,Finance,Consultant,PhD,168783
21,23,IT,Analyst,Bachelors,141920
45,14,Finance,VP,PhD,198054
27,29,Finance,Analyst,Masters,149719
29,16,HR,VP,Bachelors,213419
44,4,IT,Manager,Bachelors,77429
21,28,IT,Director,Masters,222173
28,3,Operations,Manager,Masters,75218
44,9,Operations,Consultant,Masters,80452
31,16,HR,Analyst,Masters,98451
37,9,HR,VP,Masters,155807
28,16,Sales,VP,Bachelors,192852
55,19,Operations,Analyst,Masters,128732
55,23,Finance,Analyst,Bachelors,154928
53,4,IT,Consultant,Bachelors,78985
25,33,HR,Manager,Masters,184738
59,5,IT,VP,Masters,188475
48,1,IT,Consultant,Bachelors,39140
27,12,Sales,Manager,Masters,116342
29,10,Operations,Consultant,Masters,90921
28,22,HR,VP,Masters,203708
32,15,IT,Analyst,PhD,79630
54,30,HR,Analyst,Bachelors,166595
53,10,Finance,Manager,PhD,106985
43,15,Sales,Director,Masters,169808
44,7,Finance,Manager,PhD,106086
57,3,HR,Director,Masters,117359
55,3,HR,Consultant,PhD,57184
42,24,Operations,Consultant,Masters,152552
47,2,IT,VP,PhD,132707
55,31,IT,Director,PhD,213460
21,2,Finance,VP,PhD,119057
55,26,Sales,Analyst,Bachelors,161189
57,28,IT,Director,PhD,214393
34,31,Operations,Manager,Bachelors,203272
23,18,Finance,Analyst,Masters,84382
21,20,Finance,Analyst,PhD,128029
25,4,Operations,Manager,Masters,97135
46,17,Sales,Analyst,Masters,120535
34,27,Operations,Director,PhD,197869
59,21,Sales,VP,Bachelors,220666
47,20,Operations,Analyst,PhD,116482
29,5,Operations,Director,Masters,132615
35,0,HR,Consultant,Masters,34769
35,4,Finance,Director,PhD,121564
46,11,Operations,VP,Bachelors,180527
33,25,Operations,Director,Bachelors,178954
52,33,IT,Manager,Masters,208878
59,13,Finance,VP,Masters,194491
52,25,IT,Consultant,Bachelors,138808
24,26,Finance,Manager,PhD,185410
50,8,IT,Director,Masters,153593
57,25,Operations,VP,Bachelors,264804
43,21,Operations,Consultant,Masters,145886
59,29,HR,Manager,PhD,179302
35,16,IT,Consultant,Bachelors,120253
49,25,Sales,Director,Masters,205583
56,0,HR,Consultant,PhD,56354
33,7,IT,Analyst,Masters,66690
52,34,IT,Manager,PhD,198142
27,14,HR,Consultant,PhD,107898
42,21,Operations,Director,Bachelors,198132
48,13,IT,Director,PhD,155503
22,25,Operations,Consultant,Masters,155631
26,27,HR,Director,PhD,197499
48,22,Operations,VP,PhD,251852
48,13,Finance,VP,Bachelors,184016
40,23,Sales,VP,PhD,214384
50,1,IT,Analyst,PhD,44072
31,25,Sales,Consultant,Masters,162203
48,13,Operations,Analyst,Bachelors,90482
45,6,IT,Director,Bachelors,128326
59,2,Operations,Analyst,Bachelors,39990
53,22,Finance,Director,PhD,200018
21,17,HR,Director,Bachelors,162545
47,34,IT,Manager,PhD,216410
33,14,Finance,VP,PhD,197066
23,24,Finance,Director,Masters,201405
59,27,IT,Manager,Masters,194603
26,9,Operations,VP,Masters,185188
28,16,Finance,Director,Masters,143845
47,21,Sales,Director,Masters,188662
29,25,Finance,Analyst,PhD,151174
57,24,Operations,Analyst,PhD,143837
53,16,Operations,VP,Bachelors,212813
44,12,Sales,Director,PhD,156943
35,19,Finance,Consultant,PhD,115913
52,24,Operations,Analyst,Masters,122276
52,3,IT,VP,PhD,155611
44,9,HR,Director,Masters,157105
32,2,HR,Director,Bachelors,95944
59,17,HR,Consultant,Bachelors,123406
22,21,Finance,VP,PhD,215536
23,33,Sales,Director,Bachelors,231310
57,7,Operations,Analyst,PhD,68806
37,18,IT,Consultant,Bachelors,111003
22,5,IT,VP,Masters,150225
22,25,Finance,Consultant,Masters,157976
48,33,HR,Analyst,Masters,167590
43,5,Finance,VP,Masters,152386
57,32,Sales,Consultant,PhD,179366
52,21,Sales,Manager,Bachelors,141088
53,20,Operations,Analyst,PhD,109863
21,5,Operations,Analyst,Masters,63292
39,5,Sales,Analyst,PhD,49264
22,3,Sales,Manager,Bachelors,73620
46,29,Sales,Manager,PhD,181935
