study_hours,attendance_percentage,assignment_score,previous_sem_marks,sleep_hours,department,final_exam_score
9.11,81.07,70.79,53.04,7.63,CSE,104.34
3.4,68.54,62.81,62.76,9.06,CSE,41.68
7.15,67.04,55.98,70.32,6.52,ME,48.26
4.79,66.72,82.88,45.35,4.6,ECE,29.13
0.87,80.03,57.25,65.24,4.51,ECE,28.99
4.57,74.93,,64.42,5.82,ECE,57.22
6.23,76.2,70.24,54.66,7.06,CSE,79.0
5.47,80.53,86.82,66.27,8.16,CSE,108.65
8.18,76.41,,80.43,6.08,CE,95.91
5.37,,60.2,59.95,7.4,CSE,58.17
,66.15,58.39,89.55,7.47,CSE,65.3
6.57,56.48,91.04,59.82,4.86,CSE,27.8
2.41,76.81,72.95,76.0,8.76,ECE,92.38
6.53,78.02,70.63,88.4,5.5,,98.26
6.3,84.54,71.85,65.27,8.7,CSE,124.3
2.86,87.36,70.24,80.2,7.61,ECE,98.97
4.71,59.62,71.86,63.31,5.94,CE,20.24
5.05,74.55,75.32,41.2,6.42,ECE,43.24
3.4,72.97,57.49,69.05,5.02,CE,39.36
5.64,68.99,66.26,46.11,5.0,ME,31.56
5.92,68.93,38.14,28.79,3.82,CSE,6.02
6.04,61.8,74.38,74.45,5.14,ECE,44.14
3.82,83.85,39.8,71.85,7.94,CE,66.17
,71.15,75.16,83.14,6.83,ME,81.74
3.66,75.32,90.18,73.35,6.21,ME,74.82
3.34,94.92,56.9,61.75,6.4,,78.79
5.51,86.68,,75.06,6.77,ECE,105.82
3.97,74.05,33.43,73.65,7.58,ME,59.01
4.1,63.7,74.01,88.86,6.38,CSE,59.21
6.34,,64.88,79.06,4.47,CSE,35.98
,72.53,67.5,54.98,3.94,CE,25.3
5.82,74.43,72.01,66.53,6.85,CSE,80.21
6.85,62.49,61.29,67.23,7.49,ME,48.43
5.42,84.58,57.71,74.62,6.79,,79.54
7.83,80.87,84.96,76.71,7.46,ME,118.51
3.57,64.22,78.07,80.19,7.1,CSE,39.6
6.16,81.66,53.09,78.66,4.83,CE,79.7
6.75,53.48,54.66,,7.05,CSE,1.23
3.03,76.26,46.67,,5.42,CE,39.4
4.64,98.08,,68.4,11.86,CSE,154.38
6.45,86.84,64.55,71.68,10.58,ME,127.42
1.45,76.43,68.14,76.13,6.45,,56.11
5.91,,73.02,91.84,5.9,ECE,104.85
2.19,68.37,65.49,96.24,5.95,CSE,56.09
4.98,60.49,63.47,51.21,9.27,CSE,19.34
5.19,59.35,41.45,66.05,7.52,ECE,24.34
2.04,82.71,38.47,87.16,7.35,ME,64.29
6.01,,74.69,85.9,5.54,CSE,105.69
6.36,90.91,84.54,67.95,6.57,ECE,126.58
4.36,92.39,63.6,97.49,6.05,CSE,117.53
3.08,72.74,79.65,64.42,7.87,,60.89
3.67,87.81,68.54,80.83,4.75,ME,85.55
4.97,77.24,86.53,87.83,6.22,,101.5
3.43,72.66,68.16,59.64,7.44,ME,50.31
6.79,55.3,56.78,51.83,8.19,ECE,13.58
3.59,79.19,50.48,69.16,9.51,ME,68.96
5.83,,53.49,66.79,4.97,ME,24.04
4.73,74.61,52.8,75.01,6.63,ECE,68.88
3.16,80.56,70.68,63.74,5.61,ME,54.53
,50.76,64.74,81.05,5.88,CSE,28.11
6.12,90.99,60.56,65.57,6.61,ECE,104.49
7.01,71.15,65.57,61.35,5.71,ECE,66.68
4.09,91.61,64.67,60.97,9.66,ECE,115.78
4.09,76.32,48.96,66.72,6.38,CE,48.48
5.1,82.28,64.14,80.99,6.94,CE,99.6
3.8,78.76,66.33,65.62,5.27,ME,54.0
10.16,,58.31,57.94,4.95,ECE,71.13
6.1,62.67,48.59,79.38,8.27,ME,69.83
5.1,66.36,59.15,57.54,6.11,CSE,25.75
4.31,77.69,68.7,79.32,6.41,ECE,94.18
1.77,,92.78,,4.2,CSE,58.51
3.52,88.41,65.04,62.72,8.52,ME,93.64
3.06,65.14,67.92,71.66,5.36,CE,19.72
5.4,74.42,69.38,85.76,10.61,ME,103.92
4.34,63.96,76.74,58.3,7.78,CSE,56.67
5.67,62.58,65.93,67.67,7.39,ECE,48.49
,65.06,58.84,67.13,6.66,ME,-16.48
7.14,91.49,56.52,,8.28,ECE,118.01
7.09,70.11,95.32,80.23,6.2,CE,92.42
5.7,66.21,70.85,68.12,8.61,CE,75.13
4.06,86.61,51.56,75.2,5.06,CE,53.52
5.65,70.18,71.7,42.94,9.78,ECE,61.6
1.27,69.0,80.86,85.11,9.13,ME,74.07
2.04,78.92,33.91,72.75,6.18,ECE,24.94
7.35,65.95,62.14,,7.07,ECE,60.71
8.19,60.6,65.19,,5.36,ME,40.15
5.01,77.61,47.44,66.48,7.44,CE,62.11
7.75,73.2,62.72,36.82,6.46,CE,54.75
10.2,77.41,68.71,78.48,9.55,ME,144.28
7.12,81.39,72.24,75.51,7.45,ECE,107.02
8.78,,42.11,78.35,5.71,ECE,70.87
4.92,85.79,85.21,67.41,6.31,CE,102.2
8.37,64.18,47.93,83.22,6.03,CSE,63.01
5.52,,43.34,56.44,4.56,CSE,40.96
0.97,62.8,30.03,,7.78,CSE,-36.27
3.8,72.48,70.54,91.34,8.18,ECE,90.78
,72.91,81.75,57.91,6.16,ECE,41.56
3.83,54.13,,,7.69,CE,9.3
6.97,65.02,67.81,66.79,9.33,CSE,77.06
8.0,70.72,59.07,82.75,4.67,CE,74.47
5.48,,41.25,101.11,8.12,CE,56.74
,76.85,96.59,80.5,7.74,CE,100.61
8.22,84.53,81.48,89.72,6.79,ME,126.86
4.89,82.64,78.73,61.74,4.92,CSE,91.4
5.09,55.22,48.53,98.47,7.53,CSE,30.11
4.99,72.99,72.82,,5.29,ME,70.81
3.62,95.75,80.81,96.04,7.3,ME,148.08
6.54,75.49,56.22,60.88,9.84,CSE,100.76
6.14,69.46,84.67,94.43,9.52,ME,112.25
3.15,70.87,72.14,,6.16,CE,43.33
1.18,67.0,73.31,64.1,7.87,ECE,51.88
3.94,82.58,62.35,61.36,7.92,CE,75.94
5.91,91.14,68.86,66.34,7.63,CSE,122.43
4.39,74.81,62.32,82.0,6.48,ME,79.48
5.89,67.92,59.19,81.62,8.9,ECE,79.74
1.77,61.28,62.92,92.07,9.57,CSE,53.38
2.79,87.96,58.7,64.52,7.74,ME,63.38
2.45,77.72,70.16,53.78,7.31,ECE,35.71
4.42,82.6,76.97,69.1,6.57,ECE,82.62
4.1,83.82,50.0,62.95,7.91,ME,72.5
5.54,63.47,76.14,57.65,6.26,ECE,30.89
4.74,80.84,80.35,78.7,8.56,CSE,105.89
5.15,88.18,,63.83,4.14,ME,73.44
3.64,79.32,52.83,84.52,4.99,CE,74.01
5.95,66.48,76.93,79.49,9.06,CSE,90.14
6.39,88.71,52.4,74.26,8.14,CSE,111.33
5.45,69.13,72.32,80.72,7.24,ME,74.53
6.56,87.5,53.15,69.41,5.73,ME,99.66
6.0,74.39,48.53,62.0,7.48,ECE,67.06
4.95,69.91,98.12,43.46,7.59,CSE,59.9
7.11,87.18,,83.08,8.26,ECE,159.62
9.33,79.56,80.94,60.35,7.83,CSE,124.47
5.34,78.22,56.42,55.07,7.78,CSE,59.67
1.78,71.54,87.27,66.06,7.34,CE,52.15
6.68,78.86,46.46,59.81,6.19,CSE,80.03
4.44,79.28,75.96,50.81,7.81,ECE,74.08
,59.34,59.05,78.57,8.65,ECE,15.99
4.66,68.79,58.49,62.92,5.82,CE,27.68
6.5,55.25,44.73,39.02,6.29,ECE,-18.67
,75.85,85.87,57.54,8.47,ME,74.69
5.92,53.71,63.01,55.3,7.12,CE,18.57
5.04,81.46,65.18,35.2,5.54,ECE,51.83
2.93,84.41,77.86,75.97,7.29,ECE,93.54
4.11,76.87,68.35,72.91,7.91,ME,60.02
2.11,65.5,72.98,62.76,5.81,CE,6.63
8.66,61.8,54.22,87.69,7.74,ME,64.51
